ticker,headline,summary,url,published
Tata Motors,"Tata Motors, JLR flag EV supply chain as a separate business risk. They don’t name China, but its imprint is all over.",Tata Motors and Jaguar Land Rover have for the first time introduced a new element in their annual report underscoring supply chain risks in their electric vehicles business. No other Indian automaker has so far mentioned electric transition as a separate bus…,https://www.livemint.com/companies/tata-motors-jaguar-land-rover-ev-supply-chain-risks-china-rare-earth-magnets-export-restrictions-electric-vehicles-11749201469686.html,2025-06-07
Tata Motors,"New medium, heavy trucks sold in India must have AC cabins from June 8; cos hike prices to meet mandate","Starting June 8th, India mandates air-conditioned cabins for all new medium and heavy trucks to improve driver comfort and safety, leading to a potential 1-2.5% price increase. While this may temporarily impact new truck sales and boost used truck demand, exp…",https://economictimes.indiatimes.com/industry/auto/lcv-hcv/new-medium-heavy-trucks-sold-in-india-must-have-ac-cabins-from-june-8-cos-hike-prices-to-meet-mandate/articleshow/121683755.cms,2025-06-06
Tata Motors,Rekha Jhunjhunwala's portfolio: 4 of 6 new additions outpace Sensex QTD in March quarter,"Rekha Jhunjhunwala’s March 2025 quarter stock additions outperformed the Sensex, with Nazara Technologies and Canara Bank delivering over 30% returns. Her portfolio reflects a diverse exposure across sectors, with 26 publicly held stocks worth over ₹41,570 cr…",https://economictimes.indiatimes.com/markets/stocks/news/rekha-jhunjhunwalas-portfolio-4-of-6-new-additions-outpace-sensex-qtd-in-march-quarter/articleshow/121676816.cms,2025-06-06
Tata Motors,Singapore’s Blue Planet coming up with world’s largest waste processing plant in North Chennai,"Blue Planet Environmental Solutions Pte Ltd is building the world's largest waste processing plant in Chennai, converting agricultural waste into biogas.",https://www.thehindubusinessline.com/economy/agri-business/singapores-blue-planet-coming-up-with-worlds-largest-waste-processing-plant-in-north-chennai/article69664912.ece,2025-06-06
Tata Motors,Markets open lower amid Trump-Musk spat and RBI policy expectations,"Markets open cautiously as Sensex and Nifty decline, investors weigh global uncertainties against domestic rate cut expectations.",https://www.thehindubusinessline.com/markets/stock-markets/markets-open-lower-amid-trump-musk-spat-and-rbi-policy-expectations/article69663785.ece,2025-06-06
Infosys,"Infosys sets up development centre in Gift City with 1,000 employees capacity","Infosys has launched a new development center in GIFT City, Gandhinagar, accommodating over 1,000 employees in a hybrid model. This TechFin hub will provide advanced digital solutions for global BFSI clients, focusing on areas like digital banking and regulat…",https://economictimes.indiatimes.com/tech/information-tech/infosys-sets-up-development-centre-in-gift-city-with-1000-employees-capacity/articleshow/121695537.cms,2025-06-07
Infosys,"GST breather for Infosys: DGGI closes ₹32,400 cr pre-show cause notice","Infosys receives communication from DGGI closing GST proceedings, amounting to ₹32,403 crore, for financial years 2018-19 to 2021-22.",https://www.thehindubusinessline.com/info-tech/gst-breather-for-infosys-dggi-closes-32400-cr-pre-show-cause-notice/article69668425.ece,2025-06-07
Infosys,RBI’s unexpectedly deep rate cut and the road ahead,"The RBI’s sharper-than-expected 50 bps rate cut and 100 bps CRR reduction aim to boost credit growth and economic activity amid subdued inflation. With a shift to a neutral stance, the central bank signals flexibility to either pause or ease further depending…",https://economictimes.indiatimes.com/markets/stocks/news/rbis-unexpectedly-deep-rate-cut-and-the-road-ahead/articleshow/121688607.cms,2025-06-07
Infosys,Bond yields up despite higher rate cut,Bond Street witnessed a volatile trading day. The 10-year benchmark security yields increased. This happened despite the Reserve Bank of India's repo rate cut. The change in the central bank's policy stance impacted the yields. Experts predict the 10-year yie…,https://economictimes.indiatimes.com/markets/bonds/bond-yields-up-despite-higher-rate-cut/articleshow/121688316.cms,2025-06-07
Infosys,"Infosys gets relief as DGGI closes Rs 32,403 crore GST notice","Infosys has received closure from the DGGI on a GST demand notice of over Rs 30,000 crore, related to reverse-charge payments for services from overseas branches between 2017 and 2022. The company confirmed compliance with regulations and stated the matter is…",https://economictimes.indiatimes.com/tech/information-tech/infosys-gets-relief-as-dggi-closes-rs-32403-crore-gst-notice/articleshow/121687375.cms,2025-06-07
